,date,kospi,kospi_volume,kosdaq,kosdaq_volume,exchange rate,today_confirmed,today_dead,first_shot,second_shot,third_shot,winter_shot,accumulate_confirmed,accumulate_dead,accumulate_first_shot,accumulate_second_shot,accumulate_third_shot,accumulate_winter_shot
0,2018-01-02,2479.649902,262200,812.450012,989200,1065.219971,0,0,0,0,0,0,0,0,0,0,0,0
1,2018-01-03,2486.350098,331100,822.309998,1203100,1062.540039,0,0,0,0,0,0,0,0,0,0,0,0
2,2018-01-04,2466.459961,333800,808.01001,1346500,1063.939941,0,0,0,0,0,0,0,0,0,0,0,0
3,2018-01-05,2497.52002,308800,828.030029,1229200,1061.079956,0,0,0,0,0,0,0,0,0,0,0,0
4,2018-01-08,2513.280029,311400,839.51001,1229000,1060.5,0,0,0,0,0,0,0,0,0,0,0,0
5,2018-01-09,2510.22998,374300,829.98999,1196000,1067.689941,0,0,0,0,0,0,0,0,0,0,0,0
6,2018-01-10,2499.75,444000,834.909973,1104100,1071.73999,0,0,0,0,0,0,0,0,0,0,0,0
7,2018-01-11,2487.909912,444300,852.51001,1288800,1069.670044,0,0,0,0,0,0,0,0,0,0,0,0
8,2018-01-12,2496.419922,438800,873.049988,1180700,1065.140015,0,0,0,0,0,0,0,0,0,0,0,0
9,2018-01-15,2503.72998,404600,891.609985,1025700,1055.800049,0,0,0,0,0,0,0,0,0,0,0,0
10,2018-01-16,2521.73999,341600,901.22998,1009400,1061.819946,0,0,0,0,0,0,0,0,0,0,0,0
11,2018-01-17,2515.429932,336700,886.580017,1212000,1062.459961,0,0,0,0,0,0,0,0,0,0,0,0
12,2018-01-18,2515.810059,333100,898.190002,1260200,1066.560059,0,0,0,0,0,0,0,0,0,0,0,0
13,2018-01-19,2520.26001,351800,879.98999,1164700,1069.689941,0,0,0,0,0,0,0,0,0,0,0,0
14,2018-01-22,2502.110107,343000,873.090027,1126600,1066.359985,0,0,0,0,0,0,0,0,0,0,0,0
15,2018-01-23,2536.600098,370000,894.429993,1047300,1068.810059,0,0,0,0,0,0,0,0,0,0,0,0
16,2018-01-24,2538.0,371100,894.77002,1011700,1072.76001,0,0,0,0,0,0,0,0,0,0,0,0
17,2018-01-25,2562.22998,514600,898.599976,1025000,1064.400024,0,0,0,0,0,0,0,0,0,0,0,0
18,2018-01-26,2574.76001,400600,913.119995,1080200,1064.890015,0,0,0,0,0,0,0,0,0,0,0,0
19,2018-01-29,2598.189941,437500,927.049988,1279600,1063.130005,0,0,0,0,0,0,0,0,0,0,0,0
20,2018-01-30,2567.73999,397000,920.960022,1243800,1069.790039,0,0,0,0,0,0,0,0,0,0,0,0
21,2018-01-31,2566.459961,403100,913.570007,1195300,1072.540039,0,0,0,0,0,0,0,0,0,0,0,0
22,2018-02-01,2568.540039,595100,908.200012,1407700,1069.02002,0,0,0,0,0,0,0,0,0,0,0,0
23,2018-02-02,2525.389893,481800,899.469971,1373000,1071.180054,0,0,0,0,0,0,0,0,0,0,0,0
24,2018-02-05,2491.75,442400,858.219971,1043100,1090.01001,0,0,0,0,0,0,0,0,0,0,0,0
25,2018-02-06,2453.310059,582800,858.169983,1062700,1093.300049,0,0,0,0,0,0,0,0,0,0,0,0
26,2018-02-07,2396.560059,460100,829.960022,1033300,1079.26001,0,0,0,0,0,0,0,0,0,0,0,0
27,2018-02-08,2407.620117,362400,861.940002,796300,1089.420044,0,0,0,0,0,0,0,0,0,0,0,0
28,2018-02-09,2363.77002,489100,842.599976,764400,1095.859985,0,0,0,0,0,0,0,0,0,0,0,0
29,2018-02-12,2385.379883,352300,843.23999,692300,1083.170044,0,0,0,0,0,0,0,0,0,0,0,0
30,2018-02-13,2395.189941,423400,829.390015,832900,1082.609985,0,0,0,0,0,0,0,0,0,0,0,0
31,2018-02-14,2421.830078,305700,848.030029,722700,1083.77002,0,0,0,0,0,0,0,0,0,0,0,0
32,2018-02-19,2442.820068,322100,875.809998,684400,1065.630005,0,0,0,0,0,0,0,0,0,0,0,0
33,2018-02-20,2415.120117,421500,864.409973,797200,1066.709961,0,0,0,0,0,0,0,0,0,0,0,0
34,2018-02-21,2429.649902,432300,875.580017,814600,1072.540039,0,0,0,0,0,0,0,0,0,0,0,0
35,2018-02-22,2414.280029,349500,870.219971,857900,1074.859985,0,0,0,0,0,0,0,0,0,0,0,0
36,2018-02-23,2451.52002,300600,874.780029,770200,1080.079956,0,0,0,0,0,0,0,0,0,0,0,0
