,date,kospi_adj_close,kospi_volume,kosdaq_adj_close,kosdaq_volume,usd_krw_adj_close,year,month,day
0,2018-01-02,2479.649902,262200,812.450012,989200,1065.219971,2018,1,2
1,2018-01-03,2486.350098,331100,822.309998,1203100,1062.540039,2018,1,3
2,2018-01-04,2466.459961,333800,808.01001,1346500,1063.939941,2018,1,4
3,2018-01-05,2497.52002,308800,828.030029,1229200,1061.079956,2018,1,5
4,2018-01-08,2513.280029,311400,839.51001,1229000,1060.5,2018,1,8
5,2018-01-09,2510.22998,374300,829.98999,1196000,1067.689941,2018,1,9
6,2018-01-10,2499.75,444000,834.909973,1104100,1071.73999,2018,1,10
7,2018-01-11,2487.909912,444300,852.51001,1288800,1069.670044,2018,1,11
8,2018-01-12,2496.419922,438800,873.049988,1180700,1065.140015,2018,1,12
9,2018-01-15,2503.72998,404600,891.609985,1025700,1055.800049,2018,1,15
10,2018-01-16,2521.73999,341600,901.22998,1009400,1061.819946,2018,1,16
11,2018-01-17,2515.429932,336700,886.580017,1212000,1062.459961,2018,1,17
12,2018-01-18,2515.810059,333100,898.190002,1260200,1066.560059,2018,1,18
13,2018-01-19,2520.26001,351800,879.98999,1164700,1069.689941,2018,1,19
14,2018-01-22,2502.110107,343000,873.090027,1126600,1066.359985,2018,1,22
15,2018-01-23,2536.600098,370000,894.429993,1047300,1068.810059,2018,1,23
16,2018-01-24,2538.0,371100,894.77002,1011700,1072.76001,2018,1,24
17,2018-01-25,2562.22998,514600,898.599976,1025000,1064.400024,2018,1,25
18,2018-01-26,2574.76001,400600,913.119995,1080200,1064.890015,2018,1,26
19,2018-01-29,2598.189941,437500,927.049988,1279600,1063.130005,2018,1,29
20,2018-01-30,2567.73999,397000,920.960022,1243800,1069.790039,2018,1,30
21,2018-01-31,2566.459961,403100,913.570007,1195300,1072.540039,2018,1,31
22,2018-02-01,2568.540039,595100,908.200012,1407700,1069.02002,2018,2,1
23,2018-02-02,2525.389893,481800,899.469971,1373000,1071.180054,2018,2,2
24,2018-02-05,2491.75,442400,858.219971,1043100,1090.01001,2018,2,5
25,2018-02-06,2453.310059,582800,858.169983,1062700,1093.300049,2018,2,6
26,2018-02-07,2396.560059,460100,829.960022,1033300,1079.26001,2018,2,7
27,2018-02-08,2407.620117,362400,861.940002,796300,1089.420044,2018,2,8
28,2018-02-09,2363.77002,489100,842.599976,764400,1095.859985,2018,2,9
29,2018-02-12,2385.379883,352300,843.23999,692300,1083.170044,2018,2,12
30,2018-02-13,2395.189941,423400,829.390015,832900,1082.609985,2018,2,13
31,2018-02-14,2421.830078,305700,848.030029,722700,1083.77002,2018,2,14
32,2018-02-19,2442.820068,322100,875.809998,684400,1065.630005,2018,2,19
33,2018-02-20,2415.120117,421500,864.409973,797200,1066.709961,2018,2,20
34,2018-02-21,2429.649902,432300,875.580017,814600,1072.540039,2018,2,21
35,2018-02-22,2414.280029,349500,870.219971,857900,1074.859985,2018,2,22
36,2018-02-23,2451.52002,300600,874.780029,770200,1080.079956,2018,2,23
37,2018-02-26,2457.649902,321300,874.429993,802100,1075.0,2018,2,26
38,2018-02-27,2456.139893,271200,874.01001,794500,1069.699951,2018,2,27
39,2018-02-28,2427.360107,367600,857.059998,820900,1079.390015,2018,2,28
40,2018-03-02,2402.159912,320400,860.22998,768900,1081.949951,2018,3,2
41,2018-03-05,2375.060059,312300,845.0,747500,1079.209961,2018,3,5
42,2018-03-06,2411.409912,400100,859.210022,828900,1076.660034,2018,3,6
43,2018-03-07,2401.820068,413000,841.030029,947300,1063.160034,2018,3,7
44,2018-03-08,2433.080078,394800,853.940002,891000,1066.150024,2018,3,8
45,2018-03-09,2459.449951,437300,865.799988,884800,1073.459961,2018,3,9
46,2018-03-12,2484.120117,391300,884.27002,802300,1064.050049,2018,3,12
47,2018-03-13,2494.48999,350200,886.25,1086500,1063.859985,2018,3,13
48,2018-03-14,2486.080078,360900,886.919983,954400,1066.400024,2018,3,14
49,2018-03-15,2492.379883,344000,890.429993,951000,1062.550049,2018,3,15
50,2018-03-16,2493.969971,377800,894.429993,808500,1068.75,2018,3,16
51,2018-03-19,2475.030029,477200,880.969971,759600,1070.209961,2018,3,19
52,2018-03-20,2485.52002,291500,890.400024,752100,1072.160034,2018,3,20
53,2018-03-21,2484.969971,399100,885.549988,865100,1070.550049,2018,3,21
54,2018-03-22,2496.02002,482100,871.619995,1011500,1063.959961,2018,3,22
55,2018-03-23,2416.76001,458000,829.679993,898200,1079.900024,2018,3,23
56,2018-03-26,2437.080078,306900,853.690002,740200,1082.530029,2018,3,26
57,2018-03-27,2452.060059,332100,858.840027,732200,1074.300049,2018,3,27
58,2018-03-28,2419.290039,501300,850.969971,889800,1074.119995,2018,3,28
59,2018-03-29,2436.370117,333400,865.98999,813000,1063.410034,2018,3,29
60,2018-03-30,2445.850098,395300,871.090027,764000,1062.0,2018,3,30
61,2018-04-02,2444.159912,390300,867.799988,844100,1060.98999,2018,4,2
62,2018-04-03,2442.429932,497100,872.320007,722800,1056.160034,2018,4,3
63,2018-04-04,2408.060059,551700,862.51001,821300,1053.72998,2018,4,4
64,2018-04-05,2437.52002,591000,868.929993,846400,1057.430054,2018,4,5
65,2018-04-06,2429.580078,454300,867.960022,861800,1061.640015,2018,4,6
66,2018-04-09,2444.080078,334400,874.440002,857700,1070.459961,2018,4,9
67,2018-04-10,2450.73999,356400,877.299988,1012200,1068.77002,2018,4,10
68,2018-04-11,2444.219971,355200,885.380005,886300,1063.380005,2018,4,11
69,2018-04-12,2442.709961,441600,881.450012,998000,1065.75,2018,4,12
70,2018-04-13,2455.070068,395900,891.869995,1011500,1069.97998,2018,4,13
71,2018-04-16,2457.48999,347200,896.890015,1017000,1070.660034,2018,4,16
72,2018-04-17,2453.77002,394700,901.219971,1309000,1069.52002,2018,4,17
73,2018-04-18,2479.97998,647300,893.320007,1538000,1066.089966,2018,4,18
74,2018-04-19,2486.100098,727000,882.72998,1681300,1064.069946,2018,4,19
75,2018-04-20,2476.330078,531700,889.169983,1406700,1066.23999,2018,4,20
76,2018-04-23,2474.110107,701400,879.02002,1408100,1071.410034,2018,4,23
77,2018-04-24,2464.139893,524300,873.609985,1201400,1080.180054,2018,4,24
78,2018-04-25,2448.810059,466100,869.929993,1177700,1076.75,2018,4,25
79,2018-04-26,2475.639893,520900,879.390015,957400,1081.170044,2018,4,26
80,2018-04-27,2492.399902,465000,886.48999,1114100,1076.790039,2018,4,27
81,2018-04-30,2515.379883,746300,875.950012,1351100,1067.599976,2018,4,30
82,2018-05-02,2505.610107,807600,871.030029,1357600,1072.52002,2018,5,2
83,2018-05-03,2487.25,614100,866.070007,1354500,1078.810059,2018,5,3
84,2018-05-04,2461.379883,612000,856.340027,1132000,1074.119995,2018,5,4
85,2018-05-08,2449.810059,714700,827.219971,948400,1078.390015,2018,5,8
86,2018-05-09,2443.97998,593400,850.849976,905900,1077.560059,2018,5,9
87,2018-05-10,2464.159912,490000,854.929993,857400,1077.97998,2018,5,10
88,2018-05-11,2477.709961,599900,865.929993,941500,1064.369995,2018,5,11
89,2018-05-14,2476.110107,650700,858.700012,922200,1065.949951,2018,5,14
90,2018-05-15,2458.540039,712600,862.940002,1007600,1069.160034,2018,5,15
91,2018-05-16,2459.820068,691800,850.289978,1210600,1078.859985,2018,5,16
92,2018-05-17,2448.449951,596800,855.619995,1037400,1076.48999,2018,5,17
93,2018-05-18,2460.649902,431400,869.450012,1064500,1080.910034,2018,5,18
94,2018-05-21,2465.570068,588100,872.960022,998500,1080.51001,2018,5,21
95,2018-05-23,2471.909912,752700,869.159973,874600,1074.199951,2018,5,23
96,2018-05-24,2466.01001,638100,873.320007,1113200,1074.790039,2018,5,24
97,2018-05-25,2460.800049,653600,868.349976,1115000,1079.22998,2018,5,25
98,2018-05-28,2478.959961,708400,879.690002,1270100,1073.650024,2018,5,28
99,2018-05-29,2457.25,571800,870.080017,1147700,1073.170044,2018,5,29
100,2018-05-30,2409.030029,575900,874.219971,1117600,1083.930054,2018,5,30
